question,source_type,has_numeric,has_category,has_datetime,has_text,intent,answer_depth,operation,best_chart,chart_required,needs_numeric,needs_category,needs_datetime,needs_text
How much discount do we have?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show top categorys by sentiment score,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show spread of treatment cost,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Rank products by total orders,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 sensor types by speed,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down pressure by zone,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the total loss?,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show spread of sensor value,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Explain temperature decline,parquet,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Show data quality summary,excel,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Rank user types by total error count,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Are there outliers in impressions?,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Group spend by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Plot bonus by month,excel,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Rank regions by total error count,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Find outliers in profit,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Compare pass rate by subject,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show top regions by rating,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show distribution of rating,json,true,true,true,true,distribution,visual_answer,distribution,histogram,true,true,false,false,false
What is the lowest loss value?,parquet,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Top 10 ad groups by clicks,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Find key insights,excel,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Compare length of stay by hospital,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down bonus by location,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Why did amount decrease?,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Show monthly clicks trend,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show conversion rate by region,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the lowest spend value?,csv,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Are there outliers in income?,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Predict next month clicks,csv,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
What caused the spike in attendance?,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Top 10 regions by profit,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group grade by class,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Detect unusual length of stay values,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Compare clicks by campaign,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Give me complete business insights,parquet,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Compare request count by user type,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show clicks by date,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Are cart value and discount related?,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
How has age changed over time?,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Break down response time by service,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the distribution of review score?,json,true,true,true,true,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Which country performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show data quality summary,parquet,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Rank sensor types by total humidity,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Are there duplicate records?,csv,true,true,true,false,data_quality,data_quality_answer,duplicate_check,table,false,false,false,false,false
Compare error count across regions,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show top channels by conversion rate,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 audiences by conversion rate,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Plot latency by month,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show histogram of score,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Top 10 regions by rating,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which product performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show latency trend over time,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Group temperature by device,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which endpoint performed best?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 regions by conversion rate,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show impressions by audience,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare pass rate across subjects,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the overall latency?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Explain patient count decline,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Top 10 products by revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare amount across products,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down pressure by machine,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Rank genders by total patient count,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Give me complete business insights,csv,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Rank audiences by total revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which channel performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show expense by vendor,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show review score by region,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find outliers in quantity,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Which user type has the highest error count?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare income by department,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the total attrition rate?,excel,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Do a full analysis of this dataset,csv,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Show top products by quantity,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show yearly expense trend,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show top machines by sensor value,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which vendor performed best?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
How much humidity do we have?,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show me the column names,csv,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Rank doctors by total age,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show total score,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Which department has the highest income?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top campaigns by revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group orders by product,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show future trend for profit,parquet,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Group revenue by ad group,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What columns are available?,csv,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Calculate total salary,excel,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Calculate total orders,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Group rating by customer,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show future trend for bonus,excel,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Are there outliers in length of stay?,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
What is the minimum amount?,csv,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Show sales trend over time,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show sales by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find key insights,json,true,true,true,true,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Compare revenue by region,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which sales person has the highest sales?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Forecast humidity for next quarter,parquet,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Group revenue by region,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down orders by category,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show range of spend values,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Compare grade across classs,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare profit across departments,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find anomalies in traffic logs,json,true,true,true,true,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Show revenue by sales person,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
How much grade do we have?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Compare pressure by zone,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find outliers in expense,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Summarize comments,json,true,true,true,true,text_analysis,small_summary,text_summary,bar_chart,true,false,true,false,true
Group speed by zone,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the highest amount value?,csv,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Why did impressions decrease?,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Compare request count across services,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show yearly conversion rate trend,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show amount by product,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare pressure by location,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which country has the highest sales?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the overall discount?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show profit by region,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Rank channels by total spend,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top countrys by orders,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group revenue by product,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show yearly salary trend,excel,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show humidity by device,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare length of stay across genders,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which gender performed best?,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down impressions by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Why did patient count decrease?,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Which machine has the highest pressure?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show spend by audience,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Top 10 job roles by attrition rate,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show future trend for conversion rate,csv,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Forecast expense for next quarter,parquet,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Show top customers by review score,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare impressions across ad groups,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show salary by department,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Top 10 subjects by pass rate,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top categorys by loss,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare expense by region,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find duplicate rows,csv,true,true,true,false,data_quality,data_quality_answer,duplicate_check,table,false,false,false,false,false
Compare revenue across customers,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group temperature by sensor type,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which audience has the highest impressions?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Explain bonus decline,excel,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Top 10 categorys by income,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show age by hospital,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Rank categorys by total rating,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show bonus by manager,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group review score by customer,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the total sentiment score?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
What is the distribution of profit?,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Rank channels by total clicks,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show score by school,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Give me complete business insights,json,true,true,true,true,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Break down patient count by department,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Rank channels by total revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Check if this data is clean,parquet,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Show error count by endpoint,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show bonus trend over time,excel,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Rank countrys by total quantity,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Is there a relationship between score and grade?,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
What is the total amount?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Top 10 zones by temperature,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare profit by sales person,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show length of stay by hospital,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show conversion rate trend over time,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show distribution of loss,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Which location performed best?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare profit across countrys,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Rank schools by total score,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down amount by sales person,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Forecast revenue for next quarter,csv,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Show monthly orders trend,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
What is the minimum sensor value?,parquet,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Break down income by vendor,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show income trend over time,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
What is the lowest review score value?,json,true,true,true,true,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Rank departments by total treatment cost,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show range of quantity values,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show humidity by machine,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find outliers in error count,json,true,true,true,true,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Show histogram of income,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show discount by date,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Compare age across diagnosiss,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What caused the spike in expense?,parquet,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Show monthly pressure trend,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show spread of age,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Does this dataset have duplicate entries?,json,true,true,true,true,data_quality,data_quality_answer,duplicate_check,table,false,false,false,false,false
Show sales by product,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show revenue by customer,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which product has the highest sales?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group orders by category,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find outliers in pressure,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Break down pressure by sensor type,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which department has the highest expense?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show pass rate by date,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Analyze this dataset,json,true,true,true,true,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Check if this data is clean,json,true,true,true,true,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Show top vendors by loss,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group revenue by customer,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare quantity by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Are age and treatment cost related?,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Give me a summary of this dataset,json,true,true,true,true,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Find outliers in amount,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Top 10 genders by length of stay,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare quantity across channels,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
List all columns,parquet,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Plot request count by month,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Give me a summary of this dataset,csv,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Show me the column names,csv,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Break down pass rate by student,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show amount by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
List all columns,csv,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Which product performed best?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show quantity by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show expense by department,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare profit across sales persons,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Why did temperature decrease?,parquet,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
How much error count do we have?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show top customers by discount,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top customers by cart value,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top categorys by orders,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Plot patient count by month,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show request count by date,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Top 10 channels by clicks,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show impressions trend over time,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Find outliers in cart value,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Break down treatment cost by gender,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down score by teacher,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down sales by region,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which campaign performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show pass rate by subject,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show correlation between impressions and conversion rate,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Rank genders by total length of stay,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the overall rating?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Rank categorys by total review score,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Rank campaigns by total revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 genders by treatment cost,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare rating across products,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Are there outliers in revenue?,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Compare discount across products,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
